channel_location,date_creation,channel_name,views,videos,subscriptions,extration_date,icon,banner
Brasil,2019-09-14,Gabriel e Shirley - Games,1983397052,1222,3510000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/RNO9Fbt04V6JCf72GphLUT9OU7cti-GsDEnrcOy0b_p8hyv7CRhDR_ebW6gxGA1E1kGPeslbzw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ryuRZ77HYKpUQDPecjuXUhzrKIX4fGaBQJtYNrFmvaDqtL7HUbCZEwDBXPij9J458Q2mPmclVA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2016-10-06,GamerCosta,1149603003,1470,2130000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/ytc/AIdro_l5CVu4dPPLjQL7mt5E-UkFv-EtOfgLov6smtEYwPJLvIIE=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/kPiCSQD_XcgVIE1P2xuP4cTPunhH8RRMF4nxZMXFsIin0gP-1qAHnfckehUK4SQjNRZoe1NuPg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2020-08-04,ge,2925174652,16583,5100000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/XHCE1FH6F1fBdRQjaf4Q08y4_GpdyiLU1vEFG20H2rs4sdRP00O-c6M8EBTJbwn01cHQ1lFR=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/zpWZZH4laDNrOsS43u5LbQMxOHWXuang2Y32nCDD2whkFS2e86y49gTjIBLUynv_CJe2SzX4Jg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2010-11-09,Gusttavo Lima Oficial,16122233964,635,20800000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/W1jf-E4hUhdLFSY8PhYuNlh_vAG18LEF8yhePaB7AJANc6kI-OSF8CxZ5yF5fEaAe-OkUNhkDg=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/0PHn4Ps2uZTLBdrrb9rEIl9d6V-KVfXflcEpVmUZeDUKMS-B9hmtUePHQb19zc9_M9rm0SGPYaE=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2009-06-27,Henrique e Juliano,17177017725,356,16100000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/DmPtnvlIFUeioMzp8WQF4AIt1G1kHjOi882ihYzFzRTabkSmExow-x8tcB0rb9Ophz2oaMjjug=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/7rLTU6lbUejAjiamHFMpptsazHyO-fJzjDWTb4ndPDd98Ur0IJcV7YTbaLguPlwHJ5nB3qqF=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2023-08-13,HimeVerso,1428393,368,10100,2024-08-19 00:20:19,https://yt3.googleusercontent.com/134YLfhmd06VlyfUVxigtlP0LLG77hNSSdWBn5_LLmF9FUKPGbT4EHKX67tvVgVT7yP89_qCug=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/kkDjJuv4EYqMP_qtZzRZmkGla6RByvuuOQ7352s4ETCBOrd9349nk-1XKDfP4M1B0jIqJs27urM=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2015-01-19,Hurtig,181735889,877,994000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/kxtsRjLpEGMrHVKjCsVKkUGerfPvkbQmdyhd0HYbYVlhBRk7qwx9T3vpHqMe_JlfowoOLVVyaQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/6ezScc_zrmHo0CfH51sV4DsbnEvuymXJMyeCRXGBGsdAf2yddr7L0euOPUxHkI-BlNomqx7IWw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2019-10-01,Iguinho e Lulinha,612393672,424,724000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/UYpuJTLOOtoAuMZ6fkPwLrwVQAGjPNa1XYthXwZj7-cltUGj2td5eX6_YL7EJYKM8aGXmezf2Q=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/tXHft-buWa-sUX0OMGsDG3NK5s3vN32NFscxKtMZbxL67d6DIDRw2NJoqxvd5h4Ns2lVHpE9Rw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Unknown,2012-08-30,Jazzghost,7463018330,5855,17200000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/_QWLAwBwKXViiV5aOQBIpipDrh7iMhrpv7EMbqIL4kfVealfeXJ7CY49Uma1VeqVnkYUucW4r8Q=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/6qDWqpNOeLlKGjSaIB88XnJ9kEzyOYUOJVLLJDw9RXP-H0mAmpqemJzye2QscLwowJmi6qJZvQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Unknown,2013-12-20,Jorge &amp; Mateus - Tema,626607780,425,Unknown,2024-08-19 00:34:08,https://yt3.googleusercontent.com/RhoxNU2GcW0Zvw4kZnD9xRTjmoJFcBDvd46RwHGM-5clT_CLkUbp6OS1awXKcZoZuPy7Q7E6ZBI=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/e15JScuI5A76eAgx0GZDkEHykr09aqjcXGxmNa8lad62rbxinkOceldlBhWR7sE37pUXf35PDA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2008-07-29,Jorge &amp; Mateus Oficial,10296710285,351,15100000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/RhoxNU2GcW0Zvw4kZnD9xRTjmoJFcBDvd46RwHGM-5clT_CLkUbp6OS1awXKcZoZuPy7Q7E6ZBI=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/E5uSJ7qylAlDNM0jvlGV7RFQL6Ex8vlvC_2upXIc6h28pCzv-LUUwLvSzWk1rBT-q6Z1nRdASQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2015-08-10,Kant,234345719,144,1300000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/DLd_TdqbwjaNH6KAzfGSBiYHk-LmkNd7AqKqIII0Xst1DowE_TVVkbKVOhoRdZdQuEEA81TT=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/zHAQubL_frhY1jKnzsxMADJqJ7rLv-XxpvK1o3zL_iqTHxPFs-fSfK0oUquKsHcYlWnhAbMKfNc=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2018-10-01,L3VI,358942202,1832,1290000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/3CgOPHAaGSSNhdiskPbi1hjaOs87ZpqOQqorSZ7-gpybpCrc8MlDSA5IbExZWT-Y7vtJ0d5Wdxs=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/BJM3kinYnhOzZPSismyt8Dp3HZ88gODbWB_ngu_YSdFFLsd34zRAtatbIkP2svcGsoJBIJvd=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Estados Unidos,2009-05-11,LadyGagaVEVO,14679216158,206,20000000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/yNpZ7cKMwzaM2gre9OG0WYDDFocAdhqiESVQxX5N4TEqQMsxkqaLhBylQxA9kKvDqz5FIyY0pf0=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ShJ9fFFN7pCCYmyly1Z1nUxzPyR9BXCUtzFGEVU0GQO8kAtqofN4sZXA8aekCRNJy374Brcigw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Espanha,2006-07-13,LALIGA EA SPORTS,3324307940,46823,10600000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/OVP6IGRLXliriQ3Dd-Db-CcdD6yNnj0AssbIFYW8wLPyvmTxib80C0q5TOS2vEtL9IarzQNolxQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ZbUyhhnIjKIOi61njMemVquhc89BKRu1JhFwKQbd9r2WZrb-CZGtHKE9heh93Kgqkc1J-6MI=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Unknown,2021-09-05,Leozinn 077,3982253956,401,11900000,2024-08-19 00:34:08,https://yt3.googleusercontent.com/qsyT5KRPkUOgcAsMpjPvHsQEfhnv0MoMkAyDK4K8EktfPC1ik_2ECsssCq5Mq9oaOZy73jL72w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/qTbB2uKHJprt7kR4aW0Y_zUr18AdnuuEff-EBIa-bvdaT2xC4RYeqwea8hH94mleUj9P6aU=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Singapura,2024-01-29,LLOUD Official,272408368,20,4120000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/VAGrqmTz_Kzok_KgErp5BYZsLVVFPnytIx5FwFDKglUwTe9ZvEHOrRae3ZXywkeTuVsigce8BQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/WGpVbukBdJQlsY_JO0wblR2GeetujdqkzLhtyyfie9GT0ADsBK8uuaBQJpM-KIIxvYcnaX6Cuw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
Brasil,2015-12-15,Matheus Fernandes,1198703813,156,1410000,2024-08-19 00:34:09,https://yt3.googleusercontent.com/wMWXzfCf7suYqgLTGl69SCKZwD_ZhQs6E7fq7PsmDWNH3p8CXVPw8HOs6KTNbUNWKht8H6t_RA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ceJsztgzkkBmXGhcjHuxI1_WubtVnvwuSHnTcRfwLxXhP1tmcNOaUmR7fWHzACwqKYq4M4MU=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj"
